nombre_en_fuente,orcid,veredicto,detalle,dois_atribuidos,dois_en_registro,dois_coincidentes,afiliacion_institucional_declarada,afiliaciones_declaradas
Tapia-Curimil G.,0000-0002-0587-1855,confirmada,1 de 1 DOI atribuidos aparecen en el registro del titular,1,5,1,False,Clinica Santa Maria
Torres K.,0000-0001-7638-6438,confirmada,5 de 5 DOI atribuidos aparecen en el registro del titular,5,16,5,True,Finis Terrae University | Pontifical Catholic University of Chile | Universidad Centroccidental Lisandro Alvarado
Tuñón-Suárez M.,0000-0002-3085-9057,confirmada,3 de 4 DOI atribuidos aparecen en el registro del titular,4,8,3,False,
Valencia I.,0000-0002-2695-8044,no_verificable,el titular no declara ninguna obra con DOI en su registro,1,0,0,False,
Valle M.A.,0000-0003-1362-2776,confirmada,2 de 6 DOI atribuidos aparecen en el registro del titular,6,30,2,True,Universidad Finis Terrae
Vallejos-Penaloza G.,0009-0007-8850-1553,confirmada,1 de 1 DOI atribuidos aparecen en el registro del titular,1,2,1,False,
Van Sint Jan N.,0009-0009-2540-9228,confirmada,1 de 2 DOI atribuidos aparecen en el registro del titular,2,10,1,False,
Vasquez F.,0000-0003-1769-3969,no_verificable,el titular no declara ninguna obra con DOI en su registro,4,0,0,False,
Verdugo F.J.,0000-0003-0977-3619,confirmada,1 de 1 DOI atribuidos aparecen en el registro del titular,1,31,1,False,Clínica Bupa Santiago | Hospital del Salvador | Clinica las Condes | Hospital Militar de Santiago | Hospital Militar | Hospital Santiago Oriente - Dr. Luis Tisne Brousse | Clinica Tabancura | Clínica Dávila
Villalobos P.,0009-0006-1082-5913,confirmada,1 de 1 DOI atribuidos aparecen en el registro del titular,1,2,1,False,Universidad Técnica Federico Santa María
Villarroel V.,0000-0002-3000-2248,confirmada,1 de 2 DOI atribuidos aparecen en el registro del titular,2,25,1,False,Universidad de Concepción | Universidad San Sebastián | Universidad del Desarrollo
Yanine F.,0000-0003-1086-0840,confirmada,5 de 8 DOI atribuidos aparecen en el registro del titular,8,51,5,True,Universidad Finis Terrae | Universidad Técnica Federico Santa María
Zambrano C.,0000-0002-9538-1816,confirmada,2 de 4 DOI atribuidos aparecen en el registro del titular,4,16,2,False,
Zamora L.C.,0000-0002-9421-1006,confirmada,1 de 1 DOI atribuidos aparecen en el registro del titular,1,5,1,True,Universidad Alberto Hurtado | Finis Terrae University
Zamorano S.,0009-0004-3725-4204,confirmada,1 de 1 DOI atribuidos aparecen en el registro del titular,1,10,1,True,Universidad Finis Terrae
Zbinden-Foncea H.,0000-0002-9643-1037,confirmada,4 de 11 DOI atribuidos aparecen en el registro del titular,11,8,4,True,Universidad Finis Terrae
Águila D.,0009-0000-6108-5958,confirmada,1 de 1 DOI atribuidos aparecen en el registro del titular,1,1,1,False,
Álvarez C.,0000-0003-0402-5072,confirmada,1 de 1 DOI atribuidos aparecen en el registro del titular,1,14,1,True,Finis Terrae University
Álvarez-Valdés C.,0000-0003-0402-5072,confirmada,1 de 1 DOI atribuidos aparecen en el registro del titular,1,14,1,True,Finis Terrae University
