nombre_en_fuente,orcid,veredicto,detalle,dois_atribuidos,dois_en_registro,dois_coincidentes,afiliacion_institucional_declarada,afiliaciones_declaradas
Díaz F.,0000-0003-4763-074X,sin_coincidencia,el titular declara 73 obras con DOI y ninguna coincide con las atribuidas a esta firma,14,73,0,False,Hospital El Carmen de Maipú | Hospital Clínico La Florida Dra. Eloísa Díaz Insunza | Clínica Alemana de Santiago SA | Hospital Padre Hurtado | The University of Alabama at Birmingham Department of Pediatrics | Children's of Alabama | Clínica Alemana
Díaz-Castro F.,0000-0003-1644-8742,confirmada,1 de 1 DOI atribuidos aparecen en el registro del titular,1,28,1,False,Fundació Clínic per a la Recerca Biomèdica | University of Chile
Elorrieta V.,0000-0003-1268-9784,confirmada,1 de 1 DOI atribuidos aparecen en el registro del titular,1,6,1,False,University of Alabama at Birmingham
Esis Villarroel I.S.,0000-0002-2379-8380,confirmada,1 de 1 DOI atribuidos aparecen en el registro del titular,1,16,1,True,"Universidad de Los Andes, Chile | Universidad Finis Terrae | Universidad Autónoma de Chile, CL | Bancaribe | Universidad Metropolitana, VE | Centro de Arbitraje de la Cámara de Caracas"
Etchegaray-Armijo K.,0000-0002-8536-3729,confirmada,5 de 5 DOI atribuidos aparecen en el registro del titular,5,10,5,True,Universidad Finis Terrae
Farsani D.,0000-0002-9412-3161,confirmada,2 de 14 DOI atribuidos aparecen en el registro del titular,14,30,2,False,
Faúndez M.O.,0000-0002-0158-6651,confirmada,1 de 1 DOI atribuidos aparecen en el registro del titular,1,3,1,False,Pontificia Universidad Católica de Valparaíso
Fermín-González M.,0000-0003-1050-7799,confirmada,1 de 1 DOI atribuidos aparecen en el registro del titular,1,4,1,True,Universidad Finis Terrae | Universidad Viña del Mar | Universidad Central de Venezuela | Universidad Nacional de Educación a Distancia | Universidad Pedagógica Experimental Libertador
Fernández-Verdejo R.,0000-0002-5948-2281,confirmada,11 de 20 DOI atribuidos aparecen en el registro del titular,20,46,11,True,Pontificia Universidad Católica de Chile | Pennington Biomedical Research Center | Universidad Finis Terrae
Ferre A.,0000-0003-1770-244X,confirmada,19 de 25 DOI atribuidos aparecen en el registro del titular,25,28,19,True,Universidad Finis Terrae | Finis Terrae University | Clinica las condes
Figueroa F.C.,0000-0002-1280-9742,no_verificable,el titular no declara ninguna obra con DOI en su registro,1,0,0,False,
Figueroa-Moya D.,0000-0003-2118-9159,confirmada,1 de 1 DOI atribuidos aparecen en el registro del titular,1,7,1,True,"University of Chile | Finis Terrae University | CIAE, Universidad de Chile | Universidad Autónoma de Chile | Universidad Diego Portales"
Flores-Opazo M.,0000-0001-8743-1708,confirmada,1 de 1 DOI atribuidos aparecen en el registro del titular,1,22,1,False,Andrés Bello University
Foxley V.G.,0000-0003-2175-2941,confirmada,1 de 1 DOI atribuidos aparecen en el registro del titular,1,18,1,True,Universidad Finis Terrae
Gaete M.,0000-0003-1846-2417,sin_coincidencia,el titular declara 10 obras con DOI y ninguna coincide con las atribuidas a esta firma,2,10,0,False,Pontificia Universidad Católica de Chile
Galleguillos R.,0000-0001-6065-5218,confirmada,3 de 3 DOI atribuidos aparecen en el registro del titular,3,12,3,True,Finis Terrae University | Universidad Andrés Bello | CEDENNA
Galleguillos R.B.,0000-0001-6065-5218,confirmada,1 de 1 DOI atribuidos aparecen en el registro del titular,1,12,1,True,Finis Terrae University | Universidad Andrés Bello | CEDENNA
García-Meneses C.,0009-0006-4302-5007,confirmada,1 de 1 DOI atribuidos aparecen en el registro del titular,1,1,1,False,
Giglio A.,0000-0002-0533-4531,confirmada,19 de 21 DOI atribuidos aparecen en el registro del titular,21,49,19,True,Finis Terrae University | Hospital Son Llatzer | Clinica Las Condes | Pontificia Universidad Católica de Chile | Complejo Asistencial Sótero del Río | Complejo Asistencial Doctor Sótero del Río
Giglio Jimenez A.,0000-0002-0533-4531,confirmada,2 de 2 DOI atribuidos aparecen en el registro del titular,2,49,2,True,Finis Terrae University | Hospital Son Llatzer | Clinica Las Condes | Pontificia Universidad Católica de Chile | Complejo Asistencial Sótero del Río | Complejo Asistencial Doctor Sótero del Río
Giglio Jiménez A.,0000-0002-0533-4531,confirmada,1 de 1 DOI atribuidos aparecen en el registro del titular,1,49,1,True,Finis Terrae University | Hospital Son Llatzer | Clinica Las Condes | Pontificia Universidad Católica de Chile | Complejo Asistencial Sótero del Río | Complejo Asistencial Doctor Sótero del Río
Godoy-Torres V.,0000-0002-7893-0940,confirmada,1 de 1 DOI atribuidos aparecen en el registro del titular,1,1,1,False,Centro Nacional de Conservación y Restauración
Guardia Castro D.,0000-0002-9959-2856,confirmada,1 de 1 DOI atribuidos aparecen en el registro del titular,1,2,1,False,Hospital de Urgencia de Asistencia Pública | Hospital San Juan de Dios
Gubbins V.,0000-0003-2175-2941,confirmada,2 de 4 DOI atribuidos aparecen en el registro del titular,4,18,2,True,Universidad Finis Terrae
Gubbins-Foxley V.,0000-0003-2175-2941,confirmada,1 de 1 DOI atribuidos aparecen en el registro del titular,1,18,1,True,Universidad Finis Terrae
Guevara E.,0009-0000-1595-9044,confirmada,3 de 3 DOI atribuidos aparecen en el registro del titular,3,4,3,True,Finis Terrae University
Gálvez M.,0000-0002-8638-5268,no_verificable,el titular no declara ninguna obra con DOI en su registro,2,0,0,False,
Hartmann D.,0000-0002-7140-4294,confirmada,8 de 8 DOI atribuidos aparecen en el registro del titular,8,30,8,False,
Hartmann Schatloff D.,0000-0002-7140-4294,confirmada,5 de 5 DOI atribuidos aparecen en el registro del titular,5,30,5,False,
Henriquez-Olguin C.,0000-0002-9315-9365,confirmada,6 de 6 DOI atribuidos aparecen en el registro del titular,6,87,6,False,University of Copenhagen | Københavns Universitet
Henriquez-Olguín C.,0000-0002-9315-9365,confirmada,4 de 4 DOI atribuidos aparecen en el registro del titular,4,87,4,False,University of Copenhagen | Københavns Universitet
Henríquez-Olguín C.,0000-0002-9315-9365,confirmada,5 de 5 DOI atribuidos aparecen en el registro del titular,5,87,5,False,University of Copenhagen | Københavns Universitet
Herrera Araya D.,0000-0002-7631-9283,confirmada,1 de 1 DOI atribuidos aparecen en el registro del titular,1,21,1,False,Universidad de Santiago de Chile | Universidad Santo Tomás
Hevia-Larraín V.,0000-0002-3019-4462,confirmada,1 de 1 DOI atribuidos aparecen en el registro del titular,1,1,1,False,
Hidalgo M.,0000-0003-3191-3673,confirmada,8 de 9 DOI atribuidos aparecen en el registro del titular,9,16,8,False,Universidad San Sebastián
Ibáñez-Muñoz R.C.,0000-0002-5798-1562,confirmada,1 de 1 DOI atribuidos aparecen en el registro del titular,1,5,1,True,Universidad Finis Terrae | University of Santiago Chile | Universidad de Las Américas | Universidad Mayor | Corporación Municipal de Puente Alto | Colegio Los Nogales Santiago de Chile | Universidad Arturo Prat
Jannas-Vela S.,0000-0001-9619-592X,confirmada,1 de 1 DOI atribuidos aparecen en el registro del titular,1,10,1,False,Universidad de O'Higgins | University of O'Higgins
Lagos M.,0000-0002-6114-0782,confirmada,1 de 1 DOI atribuidos aparecen en el registro del titular,1,50,1,True,"Universidad de Chile, Facultad de Ciencias | Finis Terrae University | Universidad de Talca Facultad de Ingeniería | Universidad de Chile Facultad de Ciencias | Pontificia Universidad Católica de Chile | Comisión Chilena de Energía Nuclear"
Larrañaga M.,0009-0006-2146-5677,confirmada,1 de 2 DOI atribuidos aparecen en el registro del titular,2,5,1,False,
Llanos G.,0000-0002-2516-3549,confirmada,2 de 2 DOI atribuidos aparecen en el registro del titular,2,11,2,False,Universidad Andrés Bello
Lomboy Finsterbusch M.I.,0009-0008-1613-0156,confirmada,1 de 1 DOI atribuidos aparecen en el registro del titular,1,2,1,True,Universidad Gabriela Mistral | Universidad Anáhuac de Cancún | Consulta Particular | Universidad de Chile | Finis Terrae University
Lomboy M.,0009-0008-1613-0156,confirmada,1 de 1 DOI atribuidos aparecen en el registro del titular,1,2,1,True,Universidad Gabriela Mistral | Universidad Anáhuac de Cancún | Consulta Particular | Universidad de Chile | Finis Terrae University
Lopez-Arana S.,0000-0002-4312-1318,confirmada,2 de 2 DOI atribuidos aparecen en el registro del titular,2,45,2,True,Finis Terrae University | Universidad de Chile | Instituto de Nutrición y Tecnología de los Alimentos Universidad de Chile | Fundación para la Investigación en Nutrición y Salud (FINUSAD) | Universidad Del Rosario | Hospital Universitario Clínica San Rafael | Universidad Nacional de Colombia
Lorca-Ponce E.,0000-0003-1881-2798,confirmada,3 de 3 DOI atribuidos aparecen en el registro del titular,3,7,3,False,
Lucero-Mora J.,0000-0002-8554-7181,no_verificable,el titular no declara ninguna obra con DOI en su registro,2,0,0,True,Finis Terrae University
López-Arana S.,0000-0002-4312-1318,confirmada,8 de 10 DOI atribuidos aparecen en el registro del titular,10,45,8,True,Finis Terrae University | Universidad de Chile | Instituto de Nutrición y Tecnología de los Alimentos Universidad de Chile | Fundación para la Investigación en Nutrición y Salud (FINUSAD) | Universidad Del Rosario | Hospital Universitario Clínica San Rafael | Universidad Nacional de Colombia
Maldonado-Agurto R.,0000-0002-8326-9800,confirmada,2 de 2 DOI atribuidos aparecen en el registro del titular,2,8,2,True,Finis Terrae University
Mancilla R.,0000-0002-2143-6386,no_verificable,el titular no declara ninguna obra con DOI en su registro,1,0,0,False,
Mansilla-Obando K.,0000-0003-4273-4259,confirmada,3 de 3 DOI atribuidos aparecen en el registro del titular,3,17,3,False,Universidad Andrés Bello
Marchese-Bittencourt M.,0009-0007-5833-5355,confirmada,1 de 1 DOI atribuidos aparecen en el registro del titular,1,1,1,True,Finis Terrae University
Mardónez M.M.,0000-0003-3296-3330,confirmada,1 de 1 DOI atribuidos aparecen en el registro del titular,1,7,1,False,
Mariotti-Celis M.S.,0000-0003-1357-812X,confirmada,19 de 22 DOI atribuidos aparecen en el registro del titular,22,64,19,True,Universidad Finis Terrae | Universidad Tecnológica Metropolitana | Pontificia Universidad Católica de Chile
Martinez M.,0000-0002-8127-7620,confirmada,1 de 1 DOI atribuidos aparecen en el registro del titular,1,2,1,False,Clínica Las Condes.
Martínez-Cárdenas B.,0000-0001-6460-8953,confirmada,1 de 1 DOI atribuidos aparecen en el registro del titular,1,9,1,True,Universidad Finis Terrae | Universidad Autónoma de Chile | Fundación Universitaria Cervantina San Agustín | Universidad Del Rosario
Marín G.J.,0000-0003-2961-6469,confirmada,3 de 3 DOI atribuidos aparecen en el registro del titular,3,9,3,False,
Mena C.,0000-0003-1906-1156,confirmada,4 de 5 DOI atribuidos aparecen en el registro del titular,5,18,4,False,Instituto Psiquiátrico Dr. J. Horwitz Barak | Ministry of Health | Instituto Psiquiátrico Dr.  J. Horwitz Barak. | Hospital Clínico Mutual de Seguridad | Community Mental Health Centre (COSAM) El Bosque
Molina M.,0000-0002-7091-2633,no_verificable,el titular no declara ninguna obra con DOI en su registro,4,0,0,False,
Montalva-Valenzuela F.,0000-0003-0004-3089,confirmada,7 de 7 DOI atribuidos aparecen en el registro del titular,7,27,7,False,UBO
Montero V.,0000-0003-4368-2868,confirmada,4 de 4 DOI atribuidos aparecen en el registro del titular,4,10,4,True,Universidad Finis Terrae
Montero-Orellana M.J.,0009-0007-0052-9616,confirmada,2 de 2 DOI atribuidos aparecen en el registro del titular,2,2,2,True,Finis Terrae University
Moraga Concha J.,0009-0007-5923-0205,no_verificable,el titular no declara ninguna obra con DOI en su registro,1,0,0,False,Hospital San Juan de Dios
Morales J.-P.,0000-0002-7304-5256,confirmada,3 de 4 DOI atribuidos aparecen en el registro del titular,4,12,3,False,Macquarie University | University of Sydney | UNSW Sydney
Morales-Guevara R.,0000-0002-1147-619X,confirmada,2 de 2 DOI atribuidos aparecen en el registro del titular,2,8,2,True,"Universidad Finis Terrae | Universidad de Santiago de Chile | Laboratory of Organometallic Synthesis, Center of Applied NanoSciences (CANS) | Delegación Provincial del Instituto Nacional de Recursos Hidráulicos"
Moya P.,0000-0002-8442-2571,confirmada,2 de 3 DOI atribuidos aparecen en el registro del titular,3,19,2,True,Universidad Andrés Bello | Universidad Finis Terrae | Universidad Mayor
Moyano C.,0000-0002-6357-3469,no_verificable,el titular no declara ninguna obra con DOI en su registro,1,0,0,False,
Moyano Davila C.,0000-0002-6357-3469,no_verificable,el titular no declara ninguna obra con DOI en su registro,1,0,0,False,
Moyano Dávila C.,0000-0002-6357-3469,no_verificable,el titular no declara ninguna obra con DOI en su registro,3,0,0,False,
Mujika I.,0000-0002-8143-9132,confirmada,27 de 30 DOI atribuidos aparecen en el registro del titular,30,199,27,False,
Murray N.P.,0000-0001-8154-8550,no_verificable,el titular no declara ninguna obra con DOI en su registro,5,0,0,False,
Muszalski H.,0000-0001-7031-6957,confirmada,1 de 2 DOI atribuidos aparecen en el registro del titular,2,1,1,False,
Muzard A.,0000-0002-3803-1983,confirmada,3 de 6 DOI atribuidos aparecen en el registro del titular,6,8,3,False,
Muñoz-Medina C.,0009-0000-2165-0553,confirmada,2 de 2 DOI atribuidos aparecen en el registro del titular,2,2,2,True,Universidad Finis Terrae
Nazer M.I.,0009-0008-7016-8200,confirmada,1 de 1 DOI atribuidos aparecen en el registro del titular,1,1,1,False,
Nieto I.,0000-0001-5600-9248,confirmada,1 de 2 DOI atribuidos aparecen en el registro del titular,2,8,1,True,Universidad Finis Terrae
Núnez-Lisboa M.,0000-0003-0051-9833,confirmada,1 de 1 DOI atribuidos aparecen en el registro del titular,1,11,1,True,Finis Terrae University
Núñez-Lisboa M.,0000-0003-0051-9833,confirmada,1 de 1 DOI atribuidos aparecen en el registro del titular,1,11,1,True,Finis Terrae University
Orellana Donoso M.,0000-0002-1781-062X,confirmada,1 de 4 DOI atribuidos aparecen en el registro del titular,4,21,1,True,Universidad Finis Terrae Facultad de Medicina | Universidad San Sebastián - Campus Bellavista | Universidad Andrés Bello
Orellana-Donoso M.,0000-0002-1781-062X,confirmada,10 de 34 DOI atribuidos aparecen en el registro del titular,34,21,10,True,Universidad Finis Terrae Facultad de Medicina | Universidad San Sebastián - Campus Bellavista | Universidad Andrés Bello
Ossa-Cox M.,0009-0006-4778-3235,confirmada,2 de 2 DOI atribuidos aparecen en el registro del titular,2,2,2,True,Finis Terrae University
Paredes R.,0000-0002-9943-2510,confirmada,5 de 5 DOI atribuidos aparecen en el registro del titular,5,45,5,True,Finis Terrae University | University of Talca | Universidad de Talca
