nombre_en_fuente,orcid,tipo,detalle,severidad,resolucion
Castro M.,0000-0002-2270-299X (Crossref) | 0000-0002-5482-4676 (ORCID),V2-03_desacuerdo_entre_fuentes,Crossref y el registro de ORCID atribuyen identificadores distintos a la misma firma,alta,PENDIENTE_REVISION_HUMANA
Elorrieta V.,0000-0003-1268-9784 (Crossref) | 0009-0008-1470-4670 (ORCID),V2-03_desacuerdo_entre_fuentes,Crossref y el registro de ORCID atribuyen identificadores distintos a la misma firma,alta,PENDIENTE_REVISION_HUMANA
