tipo,severidad,clave,nombre_en_fuente,detalle,consecuencia,resolucion,en_poblacion_uft,coocurren_en_publicaciones,n_publicaciones_sin_otra_deteccion
P-03_variantes_de_nombre,alta,garcia,García J.,Garcia J.|Garcia K.|García F.|García J.,posible misma persona contada varias veces,NO_RESOLVER_AUTOMATICAMENTE,,,
P-03_variantes_de_nombre,alta,garcia,García F.,Garcia J.|Garcia K.|García F.|García J.,posible misma persona contada varias veces,NO_RESOLVER_AUTOMATICAMENTE,,,
P-03_variantes_de_nombre,alta,garcia,Garcia K.,Garcia J.|Garcia K.|García F.|García J.,posible misma persona contada varias veces,NO_RESOLVER_AUTOMATICAMENTE,,,
P-03_variantes_de_nombre,alta,garcia,Garcia J.,Garcia J.|Garcia K.|García F.|García J.,posible misma persona contada varias veces,NO_RESOLVER_AUTOMATICAMENTE,,,
P-03_variantes_de_nombre,alta,gigliojimenez,Giglio Jimenez A.,Giglio Jimenez A.|Giglio Jiménez A.,posible misma persona contada varias veces,NO_RESOLVER_AUTOMATICAMENTE,,,
P-03_variantes_de_nombre,alta,gigliojimenez,Giglio Jiménez A.,Giglio Jimenez A.|Giglio Jiménez A.,posible misma persona contada varias veces,NO_RESOLVER_AUTOMATICAMENTE,,,
P-03_variantes_de_nombre,alta,gomezbarbieri,Gomez Barbieri G.,Gomez Barbieri G.|Gómez Barbieri G.,posible misma persona contada varias veces,NO_RESOLVER_AUTOMATICAMENTE,,,
P-03_variantes_de_nombre,alta,gomezbarbieri,Gómez Barbieri G.,Gomez Barbieri G.|Gómez Barbieri G.,posible misma persona contada varias veces,NO_RESOLVER_AUTOMATICAMENTE,,,
P-03_variantes_de_nombre,alta,gonzalez,González A.,González A.|González I.,posible misma persona contada varias veces,NO_RESOLVER_AUTOMATICAMENTE,,,
P-03_variantes_de_nombre,alta,gonzalez,González I.,González A.|González I.,posible misma persona contada varias veces,NO_RESOLVER_AUTOMATICAMENTE,,,
P-03_variantes_de_nombre,alta,gonzalezvalderrama,Gonzalez-Valderrama A.,Gonzalez- Valderrama A.|Gonzalez-Valderrama A.|González-Valderrama A.,posible misma persona contada varias veces,NO_RESOLVER_AUTOMATICAMENTE,,,
P-03_variantes_de_nombre,alta,gonzalezvalderrama,González-Valderrama A.,Gonzalez- Valderrama A.|Gonzalez-Valderrama A.|González-Valderrama A.,posible misma persona contada varias veces,NO_RESOLVER_AUTOMATICAMENTE,,,
P-03_variantes_de_nombre,alta,gonzalezvalderrama,Gonzalez- Valderrama A.,Gonzalez- Valderrama A.|Gonzalez-Valderrama A.|González-Valderrama A.,posible misma persona contada varias veces,NO_RESOLVER_AUTOMATICAMENTE,,,
P-03_variantes_de_nombre,alta,gutierrez,Gutiérrez J.,Gutierrez M.|Gutiérrez J.|Gutiérrez S.,posible misma persona contada varias veces,NO_RESOLVER_AUTOMATICAMENTE,,,
P-03_variantes_de_nombre,alta,gutierrez,Gutiérrez S.,Gutierrez M.|Gutiérrez J.|Gutiérrez S.,posible misma persona contada varias veces,NO_RESOLVER_AUTOMATICAMENTE,,,
P-03_variantes_de_nombre,alta,gutierrez,Gutierrez M.,Gutierrez M.|Gutiérrez J.|Gutiérrez S.,posible misma persona contada varias veces,NO_RESOLVER_AUTOMATICAMENTE,,,
P-03_variantes_de_nombre,alta,hasbun,Hasbun P.,Hasbun P.|Hasbún P.,posible misma persona contada varias veces,NO_RESOLVER_AUTOMATICAMENTE,,,
P-03_variantes_de_nombre,alta,hasbun,Hasbún P.,Hasbun P.|Hasbún P.,posible misma persona contada varias veces,NO_RESOLVER_AUTOMATICAMENTE,,,
P-03_variantes_de_nombre,alta,henriquezolguin,Henriquez-Olguin C.,Henriquez-Olguin C.|Henriquez-Olguín C.|Henríquez-Olguin C.|Henríquez-Olguín C.,posible misma persona contada varias veces,NO_RESOLVER_AUTOMATICAMENTE,,,
P-03_variantes_de_nombre,alta,henriquezolguin,Henríquez-Olguín C.,Henriquez-Olguin C.|Henriquez-Olguín C.|Henríquez-Olguin C.|Henríquez-Olguín C.,posible misma persona contada varias veces,NO_RESOLVER_AUTOMATICAMENTE,,,
P-03_variantes_de_nombre,alta,henriquezolguin,Henriquez-Olguín C.,Henriquez-Olguin C.|Henriquez-Olguín C.|Henríquez-Olguin C.|Henríquez-Olguín C.,posible misma persona contada varias veces,NO_RESOLVER_AUTOMATICAMENTE,,,
P-03_variantes_de_nombre,alta,henriquezolguin,Henríquez-Olguin C.,Henriquez-Olguin C.|Henriquez-Olguín C.|Henríquez-Olguin C.|Henríquez-Olguín C.,posible misma persona contada varias veces,NO_RESOLVER_AUTOMATICAMENTE,,,
P-03_variantes_de_nombre,alta,ibanez,Ibañez V.,Ibañez H.|Ibañez V.,posible misma persona contada varias veces,NO_RESOLVER_AUTOMATICAMENTE,,,
P-03_variantes_de_nombre,alta,ibanez,Ibañez H.,Ibañez H.|Ibañez V.,posible misma persona contada varias veces,NO_RESOLVER_AUTOMATICAMENTE,,,
P-03_variantes_de_nombre,alta,jimenezag,Jimenez A.G.,Jimenez A.G.|Jiménez A.G.,posible misma persona contada varias veces,NO_RESOLVER_AUTOMATICAMENTE,,,
P-03_variantes_de_nombre,alta,jimenezag,Jiménez A.G.,Jimenez A.G.|Jiménez A.G.,posible misma persona contada varias veces,NO_RESOLVER_AUTOMATICAMENTE,,,
P-03_variantes_de_nombre,alta,lopezarana,López-Arana S.,Lopez-Arana S.|López Arana S.|López-Arana S.,posible misma persona contada varias veces,NO_RESOLVER_AUTOMATICAMENTE,,,
P-03_variantes_de_nombre,alta,lopezarana,Lopez-Arana S.,Lopez-Arana S.|López Arana S.|López-Arana S.,posible misma persona contada varias veces,NO_RESOLVER_AUTOMATICAMENTE,,,
P-03_variantes_de_nombre,alta,lopezarana,López Arana S.,Lopez-Arana S.|López Arana S.|López-Arana S.,posible misma persona contada varias veces,NO_RESOLVER_AUTOMATICAMENTE,,,
P-03_variantes_de_nombre,alta,martinez,Martínez M.,Martinez M.|Martínez M.,posible misma persona contada varias veces,NO_RESOLVER_AUTOMATICAMENTE,,,
P-03_variantes_de_nombre,alta,martinez,Martinez M.,Martinez M.|Martínez M.,posible misma persona contada varias veces,NO_RESOLVER_AUTOMATICAMENTE,,,
P-03_variantes_de_nombre,alta,martinezmardones,Martínez-Mardones M.B.,Martinez-Mardones M.|Martinez-Mardones M.B.|Martínez-Mardones M.B.,posible misma persona contada varias veces,NO_RESOLVER_AUTOMATICAMENTE,,,
P-03_variantes_de_nombre,alta,martinezmardones,Martinez-Mardones M.B.,Martinez-Mardones M.|Martinez-Mardones M.B.|Martínez-Mardones M.B.,posible misma persona contada varias veces,NO_RESOLVER_AUTOMATICAMENTE,,,
P-03_variantes_de_nombre,alta,martinezmardones,Martinez-Mardones M.,Martinez-Mardones M.|Martinez-Mardones M.B.|Martínez-Mardones M.B.,posible misma persona contada varias veces,NO_RESOLVER_AUTOMATICAMENTE,,,
P-03_variantes_de_nombre,alta,massaaa,Massa A.A.,Massa A.A.|Massa Á.A.,posible misma persona contada varias veces,NO_RESOLVER_AUTOMATICAMENTE,,,
P-03_variantes_de_nombre,alta,massaaa,Massa Á.A.,Massa A.A.|Massa Á.A.,posible misma persona contada varias veces,NO_RESOLVER_AUTOMATICAMENTE,,,
P-03_variantes_de_nombre,alta,molina,Molina M.,Molina C.|Molina M.,posible misma persona contada varias veces,NO_RESOLVER_AUTOMATICAMENTE,,,
P-03_variantes_de_nombre,alta,molina,Molina C.,Molina C.|Molina M.,posible misma persona contada varias veces,NO_RESOLVER_AUTOMATICAMENTE,,,
P-03_variantes_de_nombre,alta,moralessepulveda,Morales-Sepulveda J.P.,Morales Sepúlveda J.P.|Morales-Sepulveda J.P.,posible misma persona contada varias veces,NO_RESOLVER_AUTOMATICAMENTE,,,
P-03_variantes_de_nombre,alta,moralessepulveda,Morales Sepúlveda J.P.,Morales Sepúlveda J.P.|Morales-Sepulveda J.P.,posible misma persona contada varias veces,NO_RESOLVER_AUTOMATICAMENTE,,,
P-03_variantes_de_nombre,alta,moyanodavila,Moyano Dávila C.,Moyano Davila C.|Moyano Dávila C.,posible misma persona contada varias veces,NO_RESOLVER_AUTOMATICAMENTE,,,
P-03_variantes_de_nombre,alta,moyanodavila,Moyano Davila C.,Moyano Davila C.|Moyano Dávila C.,posible misma persona contada varias veces,NO_RESOLVER_AUTOMATICAMENTE,,,
P-03_variantes_de_nombre,alta,nunezlisboa,Nuñez-Lisboa M.,Nuñez-Lisboa M.|Nùñez-Lisboa M.|Núnez-Lisboa M.|Núñez-Lisboa M.|Núñez-Lisboa M.N.,posible misma persona contada varias veces,NO_RESOLVER_AUTOMATICAMENTE,,,
P-03_variantes_de_nombre,alta,nunezlisboa,Núñez-Lisboa M.,Nuñez-Lisboa M.|Nùñez-Lisboa M.|Núnez-Lisboa M.|Núñez-Lisboa M.|Núñez-Lisboa M.N.,posible misma persona contada varias veces,NO_RESOLVER_AUTOMATICAMENTE,,,
P-03_variantes_de_nombre,alta,nunezlisboa,Nùñez-Lisboa M.,Nuñez-Lisboa M.|Nùñez-Lisboa M.|Núnez-Lisboa M.|Núñez-Lisboa M.|Núñez-Lisboa M.N.,posible misma persona contada varias veces,NO_RESOLVER_AUTOMATICAMENTE,,,
P-03_variantes_de_nombre,alta,nunezlisboa,Núñez-Lisboa M.N.,Nuñez-Lisboa M.|Nùñez-Lisboa M.|Núnez-Lisboa M.|Núñez-Lisboa M.|Núñez-Lisboa M.N.,posible misma persona contada varias veces,NO_RESOLVER_AUTOMATICAMENTE,,,
P-03_variantes_de_nombre,alta,nunezlisboa,Núnez-Lisboa M.,Nuñez-Lisboa M.|Nùñez-Lisboa M.|Núnez-Lisboa M.|Núñez-Lisboa M.|Núñez-Lisboa M.N.,posible misma persona contada varias veces,NO_RESOLVER_AUTOMATICAMENTE,,,
P-03_variantes_de_nombre,alta,orellanadonoso,Orellana-Donoso M.,Orellana Donoso M.|Orellana-Donoso M.|Orellana-Donoso M.I.,posible misma persona contada varias veces,NO_RESOLVER_AUTOMATICAMENTE,,,
P-03_variantes_de_nombre,alta,orellanadonoso,Orellana Donoso M.,Orellana Donoso M.|Orellana-Donoso M.|Orellana-Donoso M.I.,posible misma persona contada varias veces,NO_RESOLVER_AUTOMATICAMENTE,,,
P-03_variantes_de_nombre,alta,orellanadonoso,Orellana-Donoso M.I.,Orellana Donoso M.|Orellana-Donoso M.|Orellana-Donoso M.I.,posible misma persona contada varias veces,NO_RESOLVER_AUTOMATICAMENTE,,,
P-03_variantes_de_nombre,alta,pinozuniga,Pino-Zúñiga J.,Pino-Zuñiga J.|Pino-Zúñiga J.,posible misma persona contada varias veces,NO_RESOLVER_AUTOMATICAMENTE,,,
P-03_variantes_de_nombre,alta,pinozuniga,Pino-Zuñiga J.,Pino-Zuñiga J.|Pino-Zúñiga J.,posible misma persona contada varias veces,NO_RESOLVER_AUTOMATICAMENTE,,,
P-03_variantes_de_nombre,alta,ponce,Ponce D.,Ponce D.|Ponce N.|Ponce P.,posible misma persona contada varias veces,NO_RESOLVER_AUTOMATICAMENTE,,,
P-03_variantes_de_nombre,alta,ponce,Ponce N.,Ponce D.|Ponce N.|Ponce P.,posible misma persona contada varias veces,NO_RESOLVER_AUTOMATICAMENTE,,,
P-03_variantes_de_nombre,alta,ponce,Ponce P.,Ponce D.|Ponce N.|Ponce P.,posible misma persona contada varias veces,NO_RESOLVER_AUTOMATICAMENTE,,,
P-03_variantes_de_nombre,alta,ramos,Ramos A.,Ramos A.|Ramos T.,posible misma persona contada varias veces,NO_RESOLVER_AUTOMATICAMENTE,,,
P-03_variantes_de_nombre,alta,ramos,Ramos T.,Ramos A.|Ramos T.,posible misma persona contada varias veces,NO_RESOLVER_AUTOMATICAMENTE,,,
P-03_variantes_de_nombre,alta,reyes,Reyes M.,Reyes J.|Reyes M.,posible misma persona contada varias veces,NO_RESOLVER_AUTOMATICAMENTE,,,
P-03_variantes_de_nombre,alta,reyes,Reyes J.,Reyes J.|Reyes M.,posible misma persona contada varias veces,NO_RESOLVER_AUTOMATICAMENTE,,,
P-03_variantes_de_nombre,alta,rodriguez,Rodríguez C.,Rodríguez C.|Rodríguez I.,posible misma persona contada varias veces,NO_RESOLVER_AUTOMATICAMENTE,,,
P-03_variantes_de_nombre,alta,rodriguez,Rodríguez I.,Rodríguez C.|Rodríguez I.,posible misma persona contada varias veces,NO_RESOLVER_AUTOMATICAMENTE,,,
P-03_variantes_de_nombre,alta,ruizriquelme,Ruiz-Riquelme P.,Ruiz Riquelme P.|Ruiz-Riquelme P.,posible misma persona contada varias veces,NO_RESOLVER_AUTOMATICAMENTE,,,
P-03_variantes_de_nombre,alta,ruizriquelme,Ruiz Riquelme P.,Ruiz Riquelme P.|Ruiz-Riquelme P.,posible misma persona contada varias veces,NO_RESOLVER_AUTOMATICAMENTE,,,
P-03_variantes_de_nombre,alta,salas,Salas C.,Salas C.|Salas N.,posible misma persona contada varias veces,NO_RESOLVER_AUTOMATICAMENTE,,,
P-03_variantes_de_nombre,alta,salas,Salas N.,Salas C.|Salas N.,posible misma persona contada varias veces,NO_RESOLVER_AUTOMATICAMENTE,,,
P-03_variantes_de_nombre,alta,sanchezduque,Sánchez-Duque C.,Sanchez-Duque C.G.|Sánchez-Duque C.,posible misma persona contada varias veces,NO_RESOLVER_AUTOMATICAMENTE,,,
P-03_variantes_de_nombre,alta,sanchezduque,Sanchez-Duque C.G.,Sanchez-Duque C.G.|Sánchez-Duque C.,posible misma persona contada varias veces,NO_RESOLVER_AUTOMATICAMENTE,,,
