nombre_en_fuente,escuela_declarada_en_autoarchivo,nombre_en_autoarchivo,obras_con_esta_escuela,escuelas_distintas_para_esta_firma,resolucion
Undurraga R.,Familia,"Undurraga, Rosario",24,1,PENDIENTE_REVISION_HUMANA
Valle M.A.,Ingeniería comercial,"Valle, Mauricio A.",6,1,PENDIENTE_REVISION_HUMANA
Yanine F.,Ingenieria civil informática,"Yanine, Fernando",10,4,PENDIENTE_REVISION_HUMANA
Yanine F.,Ingeniería civil industrial,"Yanine, Fernando",28,4,PENDIENTE_REVISION_HUMANA
Yanine F.,Ingeniería Civil Industrial,"Yanine, Fernando",2,4,PENDIENTE_REVISION_HUMANA
Yanine F.,Facultad de Ingeniería,"Yanine, Franco Fernando",1,4,PENDIENTE_REVISION_HUMANA
Yanine F.F.,Ingenieria civil informática,"Yanine, Fernando",10,4,PENDIENTE_REVISION_HUMANA
Yanine F.F.,Ingeniería civil industrial,"Yanine, Fernando",28,4,PENDIENTE_REVISION_HUMANA
Yanine F.F.,Ingeniería Civil Industrial,"Yanine, Fernando",2,4,PENDIENTE_REVISION_HUMANA
Yanine F.F.,Facultad de Ingeniería,"Yanine, Franco Fernando",1,4,PENDIENTE_REVISION_HUMANA
Zambrano C.,Ingenieria civil informática,"Zambrano, Carolina",2,1,PENDIENTE_REVISION_HUMANA
Zbinden-Foncea H.,Kinesiología,"Zbinden-Foncea, Herman",1,1,PENDIENTE_REVISION_HUMANA
de la Fuente M.,Medicina,"De la Fuente, Marjorie",1,1,PENDIENTE_REVISION_HUMANA
Álvarez-Valdés C.,Educación básica,"Álvarez Valdés, Carolina",3,1,PENDIENTE_REVISION_HUMANA
