firma,orcid,eid,doi,match,fecha_consulta
Casals-Hill A.,0000-0001-5940-1050,2-s2.0-105010237891,10.46516/inmaterial.v10.219,apellido+inicial,2026-08-27
Mariotti-Celis M.S.,0000-0003-1357-812X,2-s2.0-105010256496,10.3390/foods14132240,apellido+inicial,2026-08-27
Montalva-Valenzuela F.,0000-0003-0004-3089,2-s2.0-105010261920,10.17979/sportis.2025.11.3.11920,apellido+inicial,2026-08-27
Torres K.,0000-0001-7638-6438,2-s2.0-105010435195,10.1016/j.biopha.2025.118339,apellido+inicial,2026-08-27
Ruiz Riquelme P.,0000-0002-3293-8189,2-s2.0-105010641875,10.3390/diagnostics15131618,apellido+inicial,2026-08-27
Mujika I.,0000-0002-8143-9132,2-s2.0-105010940955,10.3389/fspor.2025.1541765,apellido+inicial,2026-08-27
Amarouch García I.,0000-0003-2444-8179,2-s2.0-105011212960,10.26754/ojs_zarch/zarch.20252411151,apellido+inicial,2026-08-27
Fernández-Verdejo R.,0000-0002-5948-2281,2-s2.0-105011383287,10.1038/s41574-025-01149-1,apellido+inicial,2026-08-27
Paredes R.,0000-0002-9943-2510,2-s2.0-105011860926,10.3390/data10070095,apellido+inicial,2026-08-27
Paredes R.,0000-0002-9943-2510,2-s2.0-105011861852,10.3390/data10070093,apellido+inicial,2026-08-27
Mujika I.,0000-0002-8143-9132,2-s2.0-105012780820,10.1123/ijspp.2025-0185,apellido+inicial,2026-08-27
Figueroa-Bustos A.,0000-0002-1748-1037,2-s2.0-105012781743,10.7764/cdi.61.87916,apellido+inicial,2026-08-27
Yanine F.F.,0000-0003-1086-0840,2-s2.0-105012953195,10.1007/s00202-025-03312-3,apellido+inicial,2026-08-27
López Arana S.,0000-0002-4312-1318,2-s2.0-105012964277,10.64159/rchnut-52-3-1,apellido+inicial,2026-08-27
Núñez-Lisboa M.,0000-0003-0051-9833,2-s2.0-105013085189,10.1002/pri.70098,apellido+inicial,2026-08-27
Sanchez-Duque C.G.,0009-0000-9651-2841,2-s2.0-105013179657,10.1080/08929092.2025.2527042,apellido+inicial,2026-08-27
Lorca-Ponce E.,0000-0003-1881-2798,2-s2.0-105013199742,10.3390/ijms26157440,apellido+inicial,2026-08-27
Castiglioni C.,0000-0002-1981-7550,2-s2.0-105013525045,10.1177/22143602251320267,apellido+inicial,2026-08-27
Muñoz-Medina C.,0009-0000-2165-0553,2-s2.0-105013654794,10.1016/j.fbio.2025.107433,apellido+inicial,2026-08-27
Carriel-Nesvara A.,0009-0002-0205-4478,2-s2.0-105013654794,10.1016/j.fbio.2025.107433,apellido+inicial,2026-08-27
Mujika I.,0000-0002-8143-9132,2-s2.0-105014108527,10.1123/ijspp.2025-0303,apellido+inicial,2026-08-27
Mujika I.,0000-0002-8143-9132,2-s2.0-105014129804,10.1123/ijspp.2025-0051,apellido+inicial,2026-08-27
Hidalgo M.,0000-0003-3191-3673,2-s2.0-105014314090,10.3390/pr13082559,apellido+inicial,2026-08-27
Yanine F.,0000-0003-1086-0840,2-s2.0-105014314090,10.3390/pr13082559,apellido+inicial,2026-08-27
Galleguillos R.,0000-0001-6065-5218,2-s2.0-105014314090,10.3390/pr13082559,apellido+inicial,2026-08-27
Paredes R.,0000-0002-9943-2510,2-s2.0-105014314090,10.3390/pr13082559,apellido+inicial,2026-08-27
Henriquez-Olguín C.,0000-0002-9315-9365,2-s2.0-105014537995,10.1016/j.redox.2025.103844,apellido+inicial,2026-08-27
Mujika I.,0000-0002-8143-9132,2-s2.0-105014875925,10.1007/s00421-025-05945-5,apellido+inicial,2026-08-27
Esis Villarroel I.S.,0000-0002-2379-8380,2-s2.0-105015052328,10.21056/aec.v25i100.2010,apellido+inicial,2026-08-27
Lomboy Finsterbusch M.I.,0009-0008-1613-0156,2-s2.0-105015407727,10.1080/2331186X.2025.2548097,apellido+inicial,2026-08-27
Lopez-Arana S.,0000-0002-4312-1318,2-s2.0-105016131168,10.1186/s13690-025-01664-7,apellido+inicial,2026-08-27
Lang M.,0000-0002-8465-5471,2-s2.0-105017948166,10.3389/fpubh.2025.1672503,apellido+inicial,2026-08-27
Castillo O.,0000-0002-4411-8655,2-s2.0-105017992313,10.64159/RCHNUT-52-4-8,apellido+inicial,2026-08-27
Henriquez-Olguin C.,0000-0002-9315-9365,2-s2.0-105018093154,10.1016/j.freeradbiomed.2025.09.047,apellido+inicial,2026-08-27
Henríquez-Olguin C.,0000-0002-9315-9365,2-s2.0-105018969990,10.1016/j.molmet.2025.102261,apellido+inicial,2026-08-27
Mujika I.,0000-0002-8143-9132,2-s2.0-105019666650,10.1123/ijspp.2024-0303,apellido+inicial,2026-08-27
Solar P.,0000-0002-7035-7270,2-s2.0-105019925203,10.1007/s10853-025-11168-y,apellido+inicial,2026-08-27
