forma_de_firma,scopus_author_ids,n_scopus_ids,orcid_master,orcid_detallado,orcid_fuente,orcid_confianza,n_publicaciones,unidades,n_unidades,confianza_max,identidad_grupo,identidad_origen
Quezada M.,56013972600|60138063800,2,,0000-0003-1637-1909,OpenAlex,alta,2,Facultad de Medicina y Salud,1,alta,,
Manzur A.,59533187200,1,,,,,2,No determinada,0,alta,,
Caffarena P.,60513695700,1,,0000-0002-2609-6413,Revisión humana (candidato por afiliación confirmado),alta,2,No determinada,0,alta,,
Caffarena-Barcenilla C.,57211584427,1,,0000-0001-9550-3695,Crossref,alta,2,Facultad de Educación y Ciencias Sociales,1,alta,,
Rodríguez C.,57199444228,1,,0000-0001-9578-495X,OpenAlex,alta,2,Facultad de Medicina y Salud,1,alta,,
Díaz M.J.H.,58533004800,1,,,,,2,No determinada,0,alta,,
Morales-Guevara R.,57359799900,1,,0000-0002-1147-619X,Crossref,alta,2,Facultad de Ingeniería,1,alta,,
Saenz A.,59552160900,1,,0009-0006-7721-6012,ORCID (declarado por el titular),media,2,No determinada,0,alta,,
Figueroa D.,58917104400,1,,0000-0003-2118-9159,OpenAlex,alta,2,Facultad de Educación y Ciencias Sociales,1,alta,,
Saud F.,59207559800,1,,,,,2,No determinada,0,alta,,
Santos M.,57204120258|60389552400,2,,0000-0002-2658-3764,Crossref,media,2,Facultad de Medicina y Salud,1,alta,,
Llanos G.,57204177505,1,,0000-0002-2516-3549,Crossref,alta,2,Facultad de Economía y Negocios,1,alta,,
Diaz-Pizarro M.,59317865500,1,,0009-0008-1626-6707,ORCID (declarado por el titular),media,2,Escuela de Kinesiología,1,alta,,
Sanhueza M.B.,59731713300,1,,,,,2,Facultad de Medicina y Salud,1,alta,,
Stöwhas K.,59196420300,1,,0009-0005-9291-3062,Crossref,alta,2,Escuela de Kinesiología,1,alta,,
Strauss F.-J.,,0,,0000-0002-5832-7327,Crossref,alta,2,Facultad de Medicina y Salud,1,alta,Strauss F.J.,humana
Montero-Orellana M.J.,58555930100,1,,0009-0007-0052-9616,Crossref,media,2,Facultad de Medicina y Salud,1,alta,,
Soto M.,57613682900,1,,0000-0002-6502-4287,OpenAlex,alta,2,Facultad de Medicina y Salud,1,alta,,
Soto L.,57194392189,1,,0000-0002-0829-8767,OpenAlex,alta,2,Facultad de Medicina y Salud,1,alta,,
Lucero-Mora J.,58828642600,1,,0000-0002-8554-7181,Crossref,media,2,Facultad de Medicina y Salud,1,alta,,
Candia-Véjar A.,12760430500,1,,0000-0003-2953-6522,Crossref,media,2,Escuela de Ingeniería Civil Industrial|Facultad de Ingeniería,2,alta,,
Torrealba F.P.,58545865400,1,,0000-0002-8138-029X,OpenAlex,alta,2,No determinada,0,alta,,
Flores P.C.,57713608100,1,,0000-0002-9761-2112,OpenAlex,alta,2,No determinada,0,alta,,
Castillo O.,60129542700|7007101727,2,,0000-0002-4411-8655,Crossref,media,2,Facultad de Medicina y Salud,1,alta,Castillo-Valenzuela O.,humana
Jan N.V.S.,58117156800,1,,0009-0009-2540-9228,OpenAlex,alta,2,Facultad de Medicina y Salud,1,alta,,
Valderrama P.,57062781400,1,,0000-0002-2232-8168,OpenAlex,media,2,Facultad de Medicina y Salud,1,alta,,
Urrutia A.,7007060404,1,,0000-0002-1806-1616,OpenAlex,alta,2,Facultad de Ingeniería,1,alta,,
Ayala M.,55334978800,1,,0000-0002-9372-1645,Crossref,media,2,No determinada,0,alta,,
Cottin M.,57200079556,1,,0000-0002-9460-7190,Crossref,media,2,Facultad de Educación y Ciencias Sociales,1,alta,,
Widow G.L.,56976276800,1,,,,,2,No determinada,0,alta,,
Nachar R.,56768082900,1,,,,,2,Facultad de Medicina y Salud,1,alta,,
Van Sint Jan N.,57196004058,1,,0009-0009-2540-9228,Crossref,media,2,No determinada,0,alta,,
Arenas-Massa Á.,56404649500,1,,0000-0003-3188-0189,Crossref,media,2,Facultad de Derecho,1,alta,Arenas-Massa Á.,humana
Aqueveque-Muñoz C.,59419270700,1,,,,,2,No determinada,0,alta,,
Zañartu T.V.,59986560600,1,,0009-0005-2748-7888,OpenAlex,media,2,No determinada,0,alta,,
Villarroel V.,57193195324,1,,0000-0002-3000-2248,Crossref,media,2,Facultad de Educación y Ciencias Sociales,1,alta,,
Zárate A.,24825952000,1,,,,,2,Facultad de Medicina y Salud,1,alta,,
Villena J.M.,58033180400,1,,,,,2,Facultad de Medicina y Salud,1,alta,,
Cruzat J.C.,58809478600,1,,,,,1,No determinada,0,alta,,
Cruz D.H.-D.L.,,0,,,,,1,Facultad de Medicina y Salud,1,alta,,
Crisóstomo-Flores P.,57713608100,1,,0000-0002-9761-2112,Crossref,media,1,No determinada,0,alta,Crisóstomo Flores P.,humana
Crisóstomo Flores P.,57713608100,1,,0000-0002-9761-2112,ORCID (declarado por el titular),media,1,No determinada,0,alta,Crisóstomo Flores P.,humana
Covarrubias C P.,59680859000,1,,,,,1,No determinada,0,alta,,
Cortés-Sylvester M.F.,57190019039,1,,,,,1,No determinada,0,alta,,
Cooper A.,59246927300,1,,,,,1,Facultad de Medicina y Salud,1,alta,,
Contreras Valeria C.,59164865800,1,,,,,1,Facultad de Medicina y Salud,1,alta,,
Conti Donoso F.,60036184300,1,,,,,1,Facultad de Medicina y Salud,1,alta,,
Conejero R A.,59681370400,1,,,,,1,No determinada,0,alta,,
Coloma C.R.-T.,,0,,0009-0008-2384-6611,Crossref,media,1,No determinada,0,alta,,
Coloma B.,59246943600,1,,,,,1,No determinada,0,alta,,
Duarte L.,57215089347,1,,0000-0001-8893-4569,ORCID (declarado por el titular),media,1,Facultad de Medicina y Salud,1,alta,,
Doña V J.,59681370500,1,,,,,1,No determinada,0,alta,,
Dorlhiac R.A.,57287130400,1,,,,,1,No determinada,0,alta,,
Donoso M.O.,58984287300,1,,,,,1,Facultad de Medicina y Salud,1,alta,,
Domínguez A.,59180378700,1,,,,,1,No determinada,0,alta,Domínguez A.,humana
Dominguez A.,59180378700,1,,0000-0002-4277-3445,OpenAlex,media,1,Facultad de Medicina y Salud,1,alta,Domínguez A.,humana
Diaz-Reiher M.,57658507100,1,,,,,1,No determinada,0,alta,,
Debesa-Arregui L.M.,60530952100,1,,,,,1,Facultad de Derecho,1,alta,,
De la fuente López M.,23090504600,1,,,,,1,Facultad de Medicina y Salud,1,alta,,
Cárdenas Larenas J.P.,58954814800,1,,0009-0001-5706-8570,Crossref,media,1,No determinada,0,alta,,
Cárdenas D.C.,58191038400,1,,0000-0002-6533-3266,OpenAlex,media,1,No determinada,0,alta,,
Espinoza A.R.,59978883900,1,,,,,1,Facultad de Medicina y Salud,1,alta,,
Esis Villarroel I.S.,60084490700,1,,0000-0002-2379-8380,Crossref,media,1,Facultad de Derecho,1,alta,,
Escobar-González S.,60071273600,1,,0000-0003-2786-1487,Revisión humana (candidato por afiliación confirmado),alta,1,No determinada,0,alta,,
Errázuriz A.M.,57072823100,1,,,,,1,No determinada,0,alta,,
Erazo P.V.,57218203576,1,,,,,1,Facultad de Medicina y Salud,1,alta,,
Elton Í.A.G.,59527841500,1,,0009-0008-4866-4988,OpenAlex,media,1,No determinada,0,alta,,
Elorrieta V.,57998831100,1,,0000-0003-1268-9784,Crossref,media,1,No determinada,0,alta,,
Edwards-Toro F.,58755816900,1,,,,,1,Facultad de Medicina y Salud,1,alta,,
Echeverría K.,59362081600,1,,,,,1,Facultad de Medicina y Salud,1,alta,,
D’andurain J.,58290050500,1,,,,,1,Facultad de Medicina y Salud,1,alta,,
Dıaz F.,35195498000,1,,,,,1,Facultad de Medicina y Salud,1,alta,,
Díaz-Galaz L.,59351091000,1,,,,,1,No determinada,0,alta,,
Díaz-Eris A.,58854530200,1,,,,,1,No determinada,0,alta,,
Díaz-Castro F.,57195773605,1,,0000-0003-1644-8742,Crossref,media,1,Facultad de Medicina y Salud,1,alta,,
Díaz Rubio F.,25654778300,1,,,,,1,Facultad de Medicina y Salud,1,alta,,
Foxley V.G.,57188672913,1,,0000-0003-2175-2941,Crossref,media,1,No determinada,0,alta,Gubbins V.,humana
Fortuny E.,59254638800,1,,0000-0002-0864-5669,ORCID (declarado por el titular),media,1,No determinada,0,alta,,
Flores-Opazo M.,55626883000,1,,0000-0001-8743-1708,Crossref,media,1,No determinada,0,alta,,
Figueroa-Toledo A.M.,,0,,,,,1,Facultad de Medicina y Salud,1,alta,,
Figueroa-Moya D.,60158587100,1,,0000-0003-2118-9159,Crossref,media,1,No determinada,0,alta,,
Figueroa-Bustos A.,57245866600,1,,0000-0002-1748-1037,ORCID (declarado por el titular),media,1,No determinada,0,alta,,
Figueroa F.C.,58999532000,1,,0000-0002-1280-9742,Crossref,media,1,No determinada,0,alta,,
Figueroa A.M.,57218711484,1,,,,,1,Facultad de Medicina y Salud,1,alta,,
Festa R.R.,57885554500,1,,0000-0003-4757-483X,ORCID (declarado por el titular),media,1,Escuela de Kinesiología,1,alta,,
Ferre Contreras A.,45861101100,1,,0000-0003-1770-244X,Revisión humana (candidato por afiliación confirmado),alta,1,No determinada,0,alta,,
Fernández J.,60479253500,1,,,,,1,No determinada,0,alta,,
Fermín-González M.,57214888416,1,,0000-0003-1050-7799,Crossref,media,1,No determinada,0,alta,,
Faúndez M.O.,57873264900,1,,0000-0002-0158-6651,Crossref,media,1,Facultad de Economía y Negocios,1,alta,,
García J.,59256319400,1,,,,,1,No determinada,0,alta,,
García I.A.,57339772200,1,,0000-0003-2444-8179,OpenAlex,media,1,"Facultad de Arquitectura, Diseño y Estudios Creativos",1,alta,,
García F.,58857164000|59465758900,2,,0000-0002-9548-5252,OpenAlex,media,1,No determinada,0,alta,,
Garcia K.,59753589000,1,,,,,1,Facultad de Medicina y Salud,1,alta,,
Garcia J.,59256319400,1,,,,,1,No determinada,0,alta,,
Galleguillos R.B.,36025215000,1,,0000-0001-6065-5218,Crossref,media,1,Facultad de Ingeniería,1,alta,Galleguillos R.,humana
Galaz M.T.V.,59533563100,1,,0009-0005-9063-7439,OpenAlex,media,1,Facultad de Medicina y Salud,1,alta,,
Fuentes-Abarca A.,59008900600,1,,,,,1,Facultad de Medicina y Salud,1,alta,,
Fuentealba J.M.,59674331000,1,,,,,1,Facultad de Medicina y Salud,1,alta,,
Fuente M.D.L.,,0,,0000-0003-0577-7604,OpenAlex,media,1,No determinada,0,alta,,
Franco D.R.,55891282200,1,,,,,1,Facultad de Medicina y Salud,1,alta,,
Franchello M.E.,59756663300,1,,,,,1,Facultad de Medicina y Salud,1,alta,,
Franchello M.,59756663300,1,,,,,1,Facultad de Medicina y Salud,1,alta,,
González-Hernández J.,59867109100,1,,0000-0003-3835-7104,OpenAlex,media,1,Facultad de Medicina y Salud,1,alta,,
González S.E.,57202223345,1,,,,,1,Facultad de Educación y Ciencias Sociales,1,alta,,
González P.S.,58809096900,1,,,,,1,Facultad de Medicina y Salud,1,alta,,
González J.H.,59241782800,1,,,,,1,Facultad de Medicina y Salud,1,alta,,
González I.,59590859900,1,,,,,1,Facultad de Medicina y Salud,1,alta,,
Gonzalez- Valderrama A.,56586062200,1,,,,,1,Facultad de Medicina y Salud,1,alta,González-Valderrama A.,ortografica
Gomez D.S.,57194413591,1,,,,,1,Facultad de Educación y Ciencias Sociales,1,alta,,
Gomez Barbieri G.,57223157908,1,,,,,1,No determinada,0,alta,Gómez Barbieri G.,humana
Godoy-Torres V.,58306720000,1,,0000-0002-7893-0940,Crossref,media,1,Facultad de Artes,1,alta,,
Giordanino E.F.,57200188404,1,,0000-0001-7380-4753,Revisión humana (candidato por afiliación confirmado),alta,1,Facultad de Medicina y Salud,1,alta,Giordanino E.,humana
Giglio Jiménez A.,58509256700,1,,0000-0002-0533-4531,Crossref,media,1,No determinada,0,alta,Giglio Jiménez A.,humana
Giancáspero-Inostroza F.,59492169200,1,,,,,1,Facultad de Medicina y Salud,1,alta,,
García-Meneses C.,59676955500,1,,0009-0006-4302-5007,Crossref,media,1,No determinada,0,alta,,
Gómez G.G.,58979787500,1,,0000-0001-5193-2738,OpenAlex,media,1,No determinada,0,alta,,
Gómez G.,58979787500,1,,0000-0001-5193-2738,OpenAlex,media,1,No determinada,0,alta,,
Gómez Barbieri G.,57223157908,1,,,,,1,No determinada,0,alta,Gómez Barbieri G.,humana
Gálvez-Bravo F.,58756450600,1,,,,,1,Facultad de Medicina y Salud,1,alta,,
Gutiérrez S.,57206252422,1,,,,,1,Facultad de Medicina y Salud,1,alta,,
Gutierrez M.,60023564200,1,,,,,1,No determinada,0,alta,,
Guevara Ó.J.,58851973700,1,,,,,1,No determinada,0,alta,,
Gubbins-Foxley V.,57188672913,1,,0000-0003-2175-2941,Crossref,media,1,No determinada,0,alta,Gubbins V.,humana
Guardia Castro D.,59916852600,1,,0000-0002-9959-2856,Crossref,media,1,No determinada,0,alta,,
Barrera E.G.,60549975500,1,,,,,1,No determinada,0,alta,,
Barrenechea-Salvador M.,60101861400,1,,,,,1,Facultad de Medicina y Salud,1,alta,,
Barcenilla P.C.,57221045821,1,,,,,1,No determinada,0,alta,,
Barbieri G.G.,58870862400,1,,0009-0006-1130-7157,Revisión humana (candidato por afiliación confirmado),alta,1,No determinada,0,alta,,
Ballesteros P.,58751671800,1,,,,,1,Facultad de Medicina y Salud,1,alta,,
Avilés-Dorlhiac R.,57212759402,1,,,,,1,No determinada,0,alta,Avilés-Dorlhiac R.,humana
Avilès Dorlhiac R.,57212759402,1,,,,,1,No determinada,0,alta,Avilés-Dorlhiac R.,humana
Avendano B.S.,60118085600,1,,,,,1,No determinada,0,media,,
Herrero J.,59516178700,1,,0009-0001-4210-1016,ORCID (declarado por el titular),media,1,Escuela de Kinesiología,1,alta,,
Herrera N.,60389487400,1,,,,,1,No determinada,0,alta,,
Herrera Araya D.,57196088289,1,,0000-0002-7631-9283,Crossref,media,1,No determinada,0,alta,,
Hernández R.N.,60238613900,1,,0000-0002-3871-3108,OpenAlex,media,1,No determinada,0,alta,,
Hernández Cortina A.,51461053900,1,,,,,1,Escuela de Enfermería,1,alta,,
Hernandez A.,51461053900,1,,,,,1,No determinada,0,alta,,
Henríquez-Olguin C.,35102305800,1,,0000-0002-9315-9365,ORCID (declarado por el titular),media,1,Facultad de Medicina y Salud,1,alta,Henríquez-Olguín C.,ortografica
Henríquez C.,60174074000,1,,,,,1,No determinada,0,alta,,
Henrriquez C.,58640474200,1,,,,,1,Facultad de Economía y Negocios,1,alta,,
Basáez-Miranda E.,59979308300,1,,,,,1,Facultad de Medicina y Salud,1,alta,,
Bastías J.,57810465500,1,,,,,1,Facultad de Economía y Negocios,1,alta,,
Bassa J.C.,59011669500,1,,0000-0002-2547-0135,Crossref,media,1,No determinada,0,alta,,
Barrientos J.,59358068200,1,,,,,1,Facultad de Medicina y Salud,1,alta,,
Irarrázaval C.A.,58533004700,1,,,,,1,No determinada,0,alta,,
Inzulza S.,58671692800,1,,,,,1,Facultad de Medicina y Salud,1,alta,,
Inostroza P.,59246867600,1,,,,,1,Facultad de Medicina y Salud,1,alta,,
Ibáñez-Muñoz R.C.,58884093400,1,,0000-0002-5798-1562,Crossref,media,1,No determinada,0,alta,,
Ibañez V.,59502611000,1,,,,,1,No determinada,0,alta,,
Ibañez H.,57221208301,1,,,,,1,Facultad de Medicina y Salud,1,alta,,
Hurtado D M.J.,59682375400,1,,,,,1,No determinada,0,alta,,
Huepe-Artigas D.,56586230400,1,,0000-0002-1258-5670,OpenAlex,media,1,Facultad de Educación y Ciencias Sociales,1,alta,,
Hube-Antoine C.,58125684800,1,,,,,1,No determinada,0,alta,,
Horna Campos O.,22941076000,1,,0000-0001-8124-467X,ORCID (declarado por el titular),media,1,Facultad de Medicina y Salud,1,alta,,
Hill A.C.,57209027307,1,,0000-0001-5940-1050,OpenAlex,media,1,No determinada,0,alta,,
Hidalgo-Pérez H.,58475501200,1,,,,,1,Facultad de Ingeniería,1,alta,,
Hidago-Rosa Y.,58318003300,1,,,,,1,Facultad de Ingeniería,1,alta,,
Hevia-Larraín V.,57216331036,1,,0000-0002-3019-4462,Crossref,media,1,Facultad de Medicina y Salud,1,alta,,
Hevia D.,53263869700,1,,,,,1,Facultad de Medicina y Salud,1,alta,,
Landreau C.C.,59532772900,1,,0009-0000-7474-5273,OpenAlex,media,1,Facultad de Medicina y Salud,1,alta,,
Lagos M.,7003929252,1,,0000-0002-6114-0782,Crossref,media,1,Facultad de Ingeniería,1,alta,,
Kompatzki Á.,6506484240,1,,,,,1,No determinada,0,alta,,
Kemeny R.,58861387600,1,,,,,1,No determinada,0,alta,,
Johansen A.,23980210200,1,,0000-0003-0063-3679,OpenAlex,media,1,No determinada,0,alta,,
Jofré Bartholin M.,58782103100,1,,,,,1,Facultad de Medicina y Salud,1,alta,,
Jiménez A.G.,59753605100,1,,,,,1,No determinada,0,alta,Jiménez A.G.,humana
Jimenez A.G.,59753605100,1,,,,,1,No determinada,0,alta,Jiménez A.G.,humana
Jeria-Espinoza V.,60130836200,1,,0009-0000-4168-198X,Revisión humana (candidato por afiliación confirmado),alta,1,Facultad de Medicina y Salud,1,alta,,
Jaque Y.,58752614300,1,,,,,1,Facultad de Medicina y Salud,1,alta,,
Jannas-Vela S.,57189060868,1,,0000-0001-9619-592X,Crossref,media,1,No determinada,0,alta,,
Ishtiaque T.A.,58018299100,1,,0000-0002-3041-9748,OpenAlex,media,1,No determinada,0,alta,,
Irarrázaval C.A.A.,58533004700,1,,,,,1,No determinada,0,alta,,
López A.L.,59341924600,1,,,,,1,No determinada,0,alta,,
Loyola M.,55884631100,1,,,,,1,No determinada,0,alta,,
Lomboy M.,59366525500,1,,0009-0008-1613-0156,Crossref,media,1,No determinada,0,alta,Lomboy Finsterbusch M.I.,humana
Lomboy Finsterbusch M.I.,60090327500,1,,0009-0008-1613-0156,Crossref,media,1,Facultad de Educación y Ciencias Sociales,1,alta,Lomboy Finsterbusch M.I.,humana
Llera C.,58752140600,1,,,,,1,Facultad de Medicina y Salud,1,alta,,
Ballesteros P. P.,58242709100,1,,,,,1,Facultad de Medicina y Salud,1,alta,,
Letelier Widow G.,56976276800,1,,,,,1,No determinada,0,alta,,
Letelier J.P.,57219144357,1,,0000-0002-4054-3187,OpenAlex,media,1,No determinada,0,alta,,
Letelier F.,57216258821,1,,,,,1,Facultad de Medicina y Salud,1,alta,,
Lermanda Peña C.,58884732000,1,,,,,1,Facultad de Medicina y Salud,1,alta,,
Aguilar-Risco C.,60242727500,1,,0009-0003-4455-3889,ORCID (declarado por el titular),media,1,Facultad de Medicina y Salud,1,alta,,
Aguirre M.,58803874400,1,,,,,1,Facultad de Economía y Negocios,1,alta,,
Mariotti-Cellis M.S.,55386795700,1,,,,,1,No determinada,0,alta,,
Mardónez M.M.,59487034200,1,,0000-0003-3296-3330,Crossref,media,1,Facultad de Medicina y Salud,1,alta,,
Mardones-Falcone G.,58931723900,1,,0000-0003-3943-8731,ORCID (declarado por el titular),media,1,No determinada,0,alta,,
Marchese-Bittencourt M.,59188418600,1,,0009-0007-5833-5355,Crossref,media,1,Facultad de Medicina y Salud,1,alta,,
Ahumada F.,58805031100,1,,,,,1,Facultad de Economía y Negocios,1,alta,,
Alba V.,59407759300,1,,,,,1,Facultad de Medicina y Salud,1,alta,,
Mansilla K.Y.,57239930100,1,,,,,1,Facultad de Economía y Negocios,1,alta,,
Mancilla R.,56167363300,1,,0000-0002-2143-6386,Crossref,media,1,Facultad de Medicina y Salud,1,alta,,
Almendras-Chacana R.A.,60109225300,1,,,,,1,No determinada,0,alta,,
Maldonado J D.,56771363600,1,,,,,1,No determinada,0,alta,,
Macho R.M.,57226375250,1,,0000-0001-7592-1136,OpenAlex,media,1,No determinada,0,alta,,
Macho R.A.M.,57226375250,1,,0000-0001-7592-1136,OpenAlex,media,1,No determinada,0,alta,,
López-Soto P.,60389420900,1,,0000-0003-2559-6464,Revisión humana (candidato por afiliación confirmado),alta,1,Facultad de Medicina y Salud,1,alta,,
López Y.M.,59385913400,1,,,,,1,No determinada,0,alta,,
López V.,58291010100,1,,0000-0003-1323-7843,Revisión humana (candidato por afiliación confirmado),alta,1,Facultad de Medicina y Salud,1,alta,,
López Arana S.,23089038400,1,,0000-0002-4312-1318,ORCID (declarado por el titular),media,1,Facultad de Medicina y Salud,1,alta,López-Arana S.,mixta
Altamirano M.,59228527700,1,,0000-0002-4290-4388,OpenAlex,media,1,Facultad de Economía y Negocios,1,alta,,
Alviz M.,59228472200,1,,,,,1,Facultad de Economía y Negocios,1,alta,,
Amarouch García I.,57339772200,1,,0000-0003-2444-8179,Crossref,media,1,"Facultad de Arquitectura, Diseño y Estudios Creativos",1,alta,,
María José H.,59009653100,1,,,,,1,No determinada,0,alta,,
Martínez-Mardones M.B.,57225050522,1,,0000-0003-3296-3330,OpenAlex,media,1,No determinada,0,alta,,
Martínez-Cárdenas B.,58753349000,1,,0000-0001-6460-8953,Crossref,media,1,No determinada,0,alta,,
Martínez M.M.,58088132900,1,,,,,1,No determinada,0,alta,,
Martínez M.,58088132900,1,,,,,1,Facultad de Medicina y Salud,1,alta,Martínez M.,ortografica
Martínez Galdames B.,59508489400,1,,,,,1,Facultad de Medicina y Salud,1,alta,,
Martín M.J.S.,59752108400,1,,,,,1,Facultad de Educación y Ciencias Sociales,1,alta,,
Martinez-Mardones M.B.,57225050522,1,,0000-0003-3296-3330,OpenAlex,media,1,Facultad de Medicina y Salud,1,alta,,
Martinez-Mardones M.,57225050522,1,,0000-0003-3296-3330,OpenAlex,media,1,Facultad de Medicina y Salud,1,alta,,
Martinez M.,56499734000,1,,0000-0002-8127-7620,Crossref,media,1,No determinada,0,alta,Martínez M.,ortografica
Martineau P.D.H.C.,59403217500,1,,,,,1,No determinada,0,alta,,
Martin P.A.Q.S.,59533750400,1,,0009-0006-3555-1787,OpenAlex,media,1,Facultad de Medicina y Salud,1,alta,,
Marrugo N.,58243335300,1,,,,,1,Facultad de Medicina y Salud,1,alta,,
Villegas P.A.P.,59543218300,1,,0009-0009-7379-3519,OpenAlex,media,1,No determinada,0,alta,,
Morales Sepúlveda J.P.,57194732185,1,,,,,1,Facultad de Educación y Ciencias Sociales,1,alta,Morales Sepúlveda J.P.,humana
Arregui L.M.D.,60650413300,1,,0000-0001-7614-456X,OpenAlex,media,1,No determinada,0,alta,,
Moraga Concha J.,56481691200,1,,0009-0007-5923-0205,Crossref,media,1,No determinada,0,alta,,
Zamorano S.,60235455900,1,,0009-0004-3725-4204,Crossref,media,1,Facultad de Medicina y Salud,1,alta,,
Villarroel N.C.,59533750300,1,,0009-0006-5333-8840,OpenAlex,media,1,Facultad de Medicina y Salud,1,alta,,
Montalva J.T.,60549859000,1,,,,,1,No determinada,0,alta,,
Moltedo N.I.F.,57218534805,1,,,,,1,No determinada,0,alta,,
Villalobos P.,58544632900,1,,0009-0006-1082-5913,Crossref,media,1,No determinada,0,alta,,
Molina C.,55130350300|58941265400,2,,0000-0001-8208-0435,OpenAlex,media,1,Facultad de Medicina y Salud,1,alta,,
Moena Benítez M.F.,59475958700,1,,0009-0008-3840-068X,ORCID (declarado por el titular),media,1,No determinada,0,alta,,
Milla V.P.,58160601800,1,,,,,1,No determinada,0,alta,,
Metabolism,,0,,,,,1,Facultad de Medicina y Salud,1,alta,,
Mendez-Rebolledo G.,55891096400,1,,0000-0001-7948-3807,Revisión humana (candidato por afiliación confirmado),alta,1,Facultad de Medicina y Salud,1,alta,,
Vidal C. M.,57200798746,1,,,,,1,Facultad de Medicina y Salud,1,alta,,
Mayo B.,59403234100,1,,,,,1,No determinada,0,alta,,
Navarro-Plazaola N.,57224516218,1,,,,,1,No determinada,0,alta,,
Vergara F.V.,24400395100,1,,,,,1,No determinada,0,alta,,
Méndez-Sánchez R.E.,57223934360,1,,0000-0002-9199-827X,ORCID (declarado por el titular),media,1,Facultad de Humanidades y Comunicaciones,1,alta,,
Verdugo F.J.,57035178000,1,,0000-0003-0977-3619,Crossref,media,1,No determinada,0,alta,,
Muñoz-Concha D.,6508018349,1,,,,,1,No determinada,0,alta,,
Muñoz Fuentes C.,59012479000,1,,,,,1,No determinada,0,alta,,
Venegas M.,58671833700,1,,0000-0002-1944-4686,Revisión humana (candidato por afiliación confirmado),alta,1,Facultad de Medicina y Salud,1,alta,,
Venegas J.C.,55981651000,1,,,,,1,Facultad de Medicina y Salud,1,alta,,
Munita M.A.,57202918492,1,,,,,1,No determinada,0,alta,,
Velasco A.,7102242110,1,,,,,1,No determinada,0,alta,,
Moyano Davila C.,57201182805,1,,0000-0002-6357-3469,Crossref,media,1,No determinada,0,alta,Moyano Dávila C.,humana
Moyano C.,60078986100,1,,0000-0002-6357-3469,Crossref,media,1,No determinada,0,alta,Moyano Dávila C.,humana
Aránguiz P.M.,60738456600,1,,,,,1,No determinada,0,alta,,
Movement Sciences (NUTRIM),,0,,,,,1,Facultad de Medicina y Salud,1,alta,,
Moreno S.,56229831900|59919704200,2,,,,,1,No determinada,0,alta,,
Morales-Sepulveda J.P.,57194732185,1,,,,,1,Facultad de Educación y Ciencias Sociales,1,alta,Morales Sepúlveda J.P.,humana
Opazo-García C.,57224678925,1,,,,,1,Facultad de Medicina y Salud,1,alta,,
Olive F.,59732237300,1,,,,,1,No determinada,0,alta,,
Olivares M.,57215819178,1,,,,,1,Facultad de Medicina y Salud,1,alta,,
Olavarría N.,58482097200,1,,,,,1,No determinada,0,alta,,
Núñez-Lisboa M.N.,,0,,0000-0003-0051-9833,ORCID (declarado por el titular),media,1,Facultad de Medicina y Salud,1,alta,,
Núñez-Lisboa M.,57317659600,1,,0000-0003-0051-9833,Crossref,media,1,Facultad de Medicina y Salud,1,alta,Núñez-Lisboa M.,humana
Núnez-Lisboa M.,57317659600,1,,0000-0003-0051-9833,Crossref,media,1,Facultad de Medicina y Salud,1,alta,Núñez-Lisboa M.,humana
Nùñez-Lisboa M.,57317659600,1,,0000-0003-0051-9833,ORCID (declarado por el titular),media,1,Facultad de Medicina y Salud,1,alta,,
Nuñez-Lisboa M.,57317659600,1,,0000-0003-0051-9833,ORCID (declarado por el titular),media,1,Facultad de Medicina y Salud,1,alta,,
Norambuena-Narváez C.,58854716100,1,,,,,1,No determinada,0,alta,,
Norambuena C.,57224136890,1,,0000-0002-7561-9524,OpenAlex,media,1,Facultad de Medicina y Salud,1,alta,,
Arriagada I C.,35188614000,1,,,,,1,No determinada,0,alta,,
Neira M.,59753414400,1,,,,,1,Escuela de Nutrición y Dietética,1,alta,,
Neira B.C.,58854899500,1,,,,,1,No determinada,0,alta,,
Nazer M.I.,59414692500,1,,0009-0008-7016-8200,Crossref,media,1,No determinada,0,alta,,
Nazal L.,6507673174,1,,,,,1,Facultad de Medicina y Salud,1,alta,,
Perez S.,60585038400,1,,,,,1,No determinada,0,alta,,
Peragallo J.,58751901700,1,,,,,1,Facultad de Medicina y Salud,1,alta,,
Penroz S.,59402075500,1,,,,,1,No determinada,0,alta,,
Pavez S.,59560646700,1,,,,,1,Facultad de Medicina y Salud,1,alta,,
Amarouch I.,57339772200,1,,,,,1,No determinada,0,alta,,
Bustamante A.,56699703400|57760310700,2,,0000-0002-5385-6967,OpenAlex,media,1,No determinada,0,alta,,
Paredes M.V.B.,59698042700,1,,,,,1,No determinada,0,alta,,
Palma G.,59559237700,1,,,,,1,Facultad de Medicina y Salud,1,alta,,
Ostornol A.F.,58725356100,1,,,,,1,No determinada,0,alta,,
Busquets-Losada P.,57192640958,1,,0000-0002-1041-0543,Crossref,media,1,No determinada,0,alta,,
Osorio M.,59701506100,1,,,,,1,Escuela de Nutrición y Dietética,1,alta,,
Busquets P.,56778059300,1,,0000-0002-1041-0543,Revisión humana (candidato por afiliación confirmado),alta,1,No determinada,0,alta,,
Ortiz F.,58805268100,1,,0000-0001-7665-7488,Revisión humana (candidato por afiliación confirmado),alta,1,Facultad de Economía y Negocios,1,alta,,
