forma_de_firma,scopus_author_ids,n_scopus_ids,orcid_master,orcid_detallado,orcid_fuente,orcid_confianza,n_publicaciones,unidades,n_unidades,confianza_max,identidad_grupo,identidad_origen
Arenas-Massa A.,56404649500,1,,0000-0003-3188-0189,Revisión humana (candidato por afiliación confirmado),alta,1,Facultad de Derecho,1,alta,Arenas-Massa Á.,humana
Arellano P.,57188567780,1,,,,,1,Facultad de Medicina y Salud,1,alta,,
Arazo-Rusindo M.,57376490600,1,,0000-0001-7585-7226,Crossref,media,1,Facultad de Medicina y Salud,1,alta,,
Arazo M.C.R.,57376490600,1,,,,,1,Facultad de Medicina y Salud,1,alta,,
Aravena-Ríos P.,59007685600,1,,,,,1,Facultad de Medicina y Salud,1,alta,,
Aravena S.C.,60015327100,1,,,,,1,No determinada,0,alta,,
Araujo J.T.,58284106300,1,,,,,1,No determinada,0,alta,,
Arauco Rodríguez D.,59916434400,1,,0009-0003-6405-8316,Crossref,media,1,No determinada,0,alta,,
Araneda C.,59180794700,1,,,,,1,No determinada,0,alta,,
Cervela-Díaz M.,60102067700,1,,,,,1,Facultad de Medicina y Salud,1,alta,,
Cayu E.,59402883300,1,,,,,1,No determinada,0,alta,,
Zamorano A.,57543331300,1,,,,,1,Facultad de Medicina y Salud,1,alta,,
Cavada G.,6506571236,1,,0000-0002-3558-0266,Crossref,media,1,No determinada,0,alta,,
Álvarez-Valdés C.,57226107208,1,,0000-0003-0402-5072,Crossref,media,1,No determinada,0,alta,Álvarez-Valdés C.,humana
Abara J.F.,57190811072,1,,0000-0001-8190-2361,OpenAlex,media,1,Facultad de Humanidades y Comunicaciones,1,alta,,
Álvarez C.,55676817500|57226107208,2,,0000-0003-0402-5072,Crossref,media,1,No determinada,0,alta,Álvarez-Valdés C.,humana
Álamos-Vial N.,59538409900,1,,,,,1,Facultad de Educación y Ciencias Sociales,1,alta,,
Águila D.,57034090200,1,,0009-0000-6108-5958,Crossref,media,1,Escuela de Nutrición y Dietética,1,alta,,
von Hoveling-Schindler A.,57221866671,1,,,,,1,No determinada,0,alta,,
van Sint Jan D N.,58875319100,1,,,,,1,No determinada,0,alta,,
de la Fuente M.,23090504600,1,,0000-0003-0577-7604,Revisión humana (candidato por afiliación confirmado),alta,1,No determinada,0,alta,,
de la Cruz P.S.,57218895503,1,,,,,1,No determinada,0,alta,,
de Vos V.,59559833500,1,,,,,1,Facultad de Medicina y Salud,1,alta,,
de Souza Costa D.,58310249200,1,,,,,1,No determinada,0,alta,,
de Guevara D.L.H.,6504597632,1,,,,,1,No determinada,0,alta,,
and Senior Lecturer,,0,,,,,1,Facultad de Medicina y Salud,1,alta,,
Cavada Chacón G.,6506571236,1,,,,,1,Facultad de Medicina y Salud,1,alta,,
Cáceres-Hernández A.,59271261900,1,,,,,1,Facultad de Medicina y Salud,1,alta,,
Villena J.,58033180400,1,,,,,1,No determinada,0,alta,,
